RUN	performanceRunners.CDArticleSimulation	cdarticlesimulation	1683463085991	 	3.7.4
USER	Create An Article	START	1683463087249
USER	Create An Article	START	1683463086285
USER	Create An Article	START	1683463088238
USER	Create An Article	START	1683463089218
USER	Create An Article	START	1683463090232
REQUEST		POST /api/users/login	1683463093253	1683463094449	OK	 
REQUEST		POST /api/articles	1683463095816	1683463096337	OK	 
REQUEST		POST /api/articles	1683463095676	1683463096320	OK	 
REQUEST		POST /api/articles	1683463095696	1683463096332	OK	 
REQUEST		DELETE /api/articles/Chief-Accounts-AdministratorSun-May-07-15:38:15-EET-2023-154997	1683463096374	1683463096993	OK	 
REQUEST		DELETE /api/articles/Future-Security-LiaisonSun-May-07-15:38:15-EET-2023-154997	1683463096381	1683463096994	OK	 
REQUEST		DELETE /api/articles/Regional-Creative-SupervisorSun-May-07-15:38:15-EET-2023-154997	1683463096376	1683463096994	OK	 
REQUEST		POST /api/articles	1683463095694	1683463096315	OK	 
REQUEST		DELETE /api/articles/Forward-Integration-AgentSun-May-07-15:38:15-EET-2023-154997	1683463096373	1683463096998	OK	 
REQUEST		POST /api/articles	1683463095686	1683463096316	OK	 
REQUEST		DELETE /api/articles/Legacy-Marketing-SpecialistSun-May-07-15:38:15-EET-2023-154997	1683463096370	1683463097000	OK	 
USER	Create An Article	END	1683463097005
USER	Create An Article	END	1683463097005
USER	Create An Article	END	1683463097005
USER	Create An Article	END	1683463097005
USER	Create An Article	END	1683463097005
